#Question|Class|WH|WH-Bigram|WH-POS|WH-NBOR-POS
"What year was ""You Bet Your Life"" first broadcast on television?"|T|What|What year|WP|NN
When was the Princeton University Chapel constructed?|T|When|When was|WRB|VBD
In 1934 a summer camp for boys formed in Griggstown. Which group was the sponsor?|O||||
Of the known animal species, what percent are insects?|C||||
Which country's workers expressed the highest degree of job dissatisfaction?|L|Which|Which country|WDT|NN
Which country has the highest number of highway deaths per 100,000 population?|L|Which|Which country|WDT|NN
What unit of measure is used in calculating the diameter of a cigar?|X|What|What unit|WP|NN
Which president is buried in Princeton?|P|Which|Which president|WDT|NN
What are the top two silver producing countries?|L|What|What are|WP|VBP
What proportion of the nation's freight bill is accounted for by trucks?|C|What|What proportion|WP|NN
Which country had the greatest sale of over-the-counter health care products per capita in 1999?|L|Which|Which country|WDT|NN
"How long did ""Gunsmoke"" run on network TV?"|R|How|How long|WRB|RB
What percentage of new medicines receiving FDA approval in 1999 were developed by research-based pharmaceutical companies headquartered in New Jersey?|C|What|What percentage|WP|NN
What percentage of the 2.5 million Muslims in the United States are followers of Louis Farrakhan's Nation of Islam?|C|What|What percentage|WP|NN
At what income would a family of four be living in poverty?|M||||
How many items are typically for sale on eBay, the Internet auction site?|A|How|How many|WRB|JJ
How much does a cumulus cloud with a volume of one-quarter cubic mile weigh?|A|How|How much|WRB|JJ
IBM announced the personal computer in what year?|T||||
How long does it take a newly-planted cranberry bog to produce marketable berries?|R|How|How long|WRB|RB
"When should you applaud during a Shakespeare performance according to ""Shakespeare for Dummies""?"|T|When|When should|WRB|MD
"Who was the designer of the ""American Modern"" dinnerware?"|P|Who|Who was|WP|VBD
How long is the train ride from London to Paris?|R|How|How long|WRB|JJ
In what state is the oldest operating lighthouse in the United States located?|L||||
Of the estimated 6,000 to 8,000 poisonous snake bites in the United States each year, how many are fatal?|A||||
What was Michelangelo's last name?|P|What|What was|WP|VBD
What percent of women with children under 3 send pictures of their babies via e-mail?|C|What|What percent|WP|NN
What is the largest island adjoining the continental United States?|L|What|What is|WP|VBZ
"Who was originally cast as Rick in ""Casablanca,"" a role eventually played by Humphrey Bogart?"|P|Who|Who was|WP|VBD
What lubricant was used to help slide the 4,800-ton Hatteras Lighthouse when it was moved 2,900 feet from its original site by sliding it along steel beams?|X|What|What lubricant|WP|NN
How do birds find worms that are underground?|X|How|How do|WRB|JJ
"What city was Adolph Hitler referring to when he wrote in ""Mein Kampf,"" that his years there were ""a time of the greatest transformation which I have ever been through.""?"|L|What|What city|WP|NN
During 1999, how many days passed before a new Home Depot store opened, on average?|R||||
"Which famous writer said, ""I find it harder and harder every day to live up to my blue china."""|P|Which|Which famous|WDT|JJ
What company earned the most U.S. patents in 1999?|O|What|What company|WP|NN
Which Somerset County municipality had the highest proportion of persons 18 years old and younger in 1990?|L|Which|Which Somerset|WDT|NNP
Approximately when did the Vikings first land in North America?|T||||
"What does the Pentagon say its version of the proposed ""space shield"" missile-defense system will cost?"|M|What|What does|WP|VBZ
What percentage of Americans receive food stamps?|C|What|What percentage|WP|NN
What is the most researched honeymoon and romance destination at Travelocity.com?|L|What|What is|WP|VBZ
What was the peak year for accidents during the 1990s on the N.J. Turnpike?|T|What|What was|WP|VBD
How much more did the average CEO of a major U.S. company make last year than the average worker?|M|How|How much|WRB|RB
Which country spent the most per capita on recorded music last year?|L|Which|Which country|WDT|NN
In what part of the country are retail gasoline prices the lowest?|L||||
What is the approximate maximum distance at which a clap of thunder can be heard?|D|What|What is|WP|VBZ
How many vehicles are owned or leased by the U.S. federal government?|A|How|How many|WRB|JJ
Which city outside the United States ranked first in Internet domain registrations in January 2000?|L|Which|Which city|WDT|NN
How high is the pitcher's mound in Major League baseball?|D|How|How high|WRB|JJ
What is the average price today of a new car?|M|What|What is|WP|VBZ
What is the richest city neighborhood in America?|L|What|What is|WP|VBZ
What is the cost of the optimal daily diet for a woman aged 25 to 50?|M|What|What is|WP|VBZ
What percentage of American high school students are enrolled in daily physical education classes?|C|What|What percentage|WP|NN
What percentage of suspects charged with crimes make confessions to police?|C|What|What percentage|WP|NN
Which Major League Baseball team charges the most for a hot dog?|O|Which|Which Major|WDT|NNP
What percentage of fatal traffic accidents in New Jersey in 1995 were alcohol related?|C|What|What percentage|WP|NN
Which library has the largest collection in the world?|X|Which|Which library|WDT|NN
"Which New Jersey college ranked highest on Yahoo! Internet Life's list of ""100 Most Wired Colleges?"""|O|Which|Which New|WDT|NNP
What is New Jersey's top-rated seafood restaurant in the 2000 Zagat Survey?|O|What|What is|WP|VBZ
Southwest Airlines was rated the top U.S. airline in a national study released last week. Which airline finished second?|O||||
What percentage of Africa's population lives without access to basic healthcare or a safe water source?|C|What|What percentage|WP|NN
"Which nation has the ""most global economy?"""|L|Which|Which nation|WDT|NN
What percentage of total federal income tax collections come from corporations?|C|What|What percentage|WP|NN
What is the total federal tax take, in percentage terms, for a family of four at the national median income of $39,000?|C|What|What is|WP|VBZ
What percentage of people polled in New Jersey believe that God created the Earth in six days?|C|What|What percentage|WP|NN
Which type of treatment for back pain produced the best results among those polled by Consumer Reports?|X|Which|Which type|WDT|NN
What is the latest date at least one inch of snow fell in New Brunswick during a 24-hour period?|T|What|What is|WP|VBZ
Which college or university has the largest number of graduates serving in the Peace Corps?|O|Which|Which college|WDT|NN
Which of the 50 largest cities in the United States had the lowest unemployment rate in 1998?|L|Which|Which of|WDT|IN
Which of the following female pop musicians has yet to reach her 40th birthday?|P|Which|Which of|WDT|IN
What has been the average inflation-adjusted return on stocks during the 200-year history of the stock market?|C|What|What has|WP|VBZ
What percentage of computer monitors used in the home are set with a screen resolution of 800 by 600 pixels?|C|What|What percentage|WP|NN
What percentage of New Jersey residents drink bottled or filtered water?|C|What|What percentage|WP|NN
What percentage of people use e-mail to circulate jokes?|C|What|What percentage|WP|NN
What was Internet Explorer's browser market share in February?|C|What|What was|WP|VBD
Which New Jersey daily newspaper showed the largest circulation gain in 1998?|X|Which|Which New|WDT|NNP
What percentage of Americans polled believe government should pass laws on how personal information is collected on the Internet?|C|What|What percentage|WP|NN
What percentage of the copies printed by People magazine are sold?|C|What|What percentage|WP|NN
What percentage of Princeton University's 734 professors are African American?|C|What|What percentage|WP|NN
How many foreign travelers visited Guyana in 1998?|A|How|How many|WRB|JJ
A recent poll found that just one country of 17 surveyed had a majority of people that were willing to pay more taxes to fund better services. Which country was it?|L||||
Mexico is the leading source of illegal immigration to the United States. Which country ranks second?|L||||
Thirty-nine states have raised the speed limit on at least some of their highways since 1995. How many of those states have shown statistically significant increases in fatalities as a result?|A||||
If gas sells at $1.50 a gallon, how much does it cost to fill up a Ford Excursion SUV?|M||||
What percentage of Americans pay the full amount due on their credit cards each month?|C|What|What percentage|WP|NN
What percentage of federal tax returns were filed electronically last year?|C|What|What percentage|WP|NN
What percentage of web pages worldwide are in English?|C|What|What percentage|WP|NN
What disease received the most research funding from the National Institutes of Health?|X|What|What disease|WP|NN
What percentage of high school juniors spend less than an hour a day on homework?|C|What|What percentage|WP|NN
In how many states is execution by firing squad still an authorized method?|A||||
In what county of Ireland did St. Patrick spend his retirement years?|L||||
What is the favorite color of car owners today?|X|What|What is|WP|VBZ
Which country has the highest percentage of women elected to its national legislative body?|L|Which|Which country|WDT|NN
What percentage of male professionals and managers in the U.S. work at least 50 hours per week and spend an additional four hours commuting?|C|What|What percentage|WP|NN
What percentage of Division I male college basketball players graduate within six years from the time they first enroll?|C|What|What percentage|WP|NN
What percentage of households with Internet access have cable modems or DSL connections?|C|What|What percentage|WP|NN
How many heart transplants are expected to be performed in the United States this year?|A|How|How many|WRB|JJ
In 1992, Ross Perot received the most votes by a third-party presidential candidate in 80 years. Which third-party candidate drew the most votes between the Depression years and 1992?|P||||
Which organization or company spent the most money lobbying in New Jersey last year?|O|Which|Which organization|WDT|NN
Which HMO has the most enrollees in New Jersey?|O|Which|Which HMO|WDT|NNP
In 1960, what percentage of female high school graduates went on to college?|C||||
What was the top salary last year for a staff lawyer at the ACLU in New York City?|M|What|What was|WP|VBD
What is the most effective treatment today for bubonic plague?|X|What|What is|WP|VBZ
What percentage of banks in New Jersey offer some form of free checking?|C|What|What percentage|WP|NN
Entering tonight's game with Yale, the Princeton's men's basketball team has lost two straight to Penn and Yale. What is the last Ivy League team other than Penn or Yale to beat the Tigers twice in a row?|O||||
How many hours did the average Internet user spend online at home during the month of January?|A|How|How many|WRB|JJ
In what year was the first America's Cup race held?|T||||
What is the most popular out-of-state college among students from New Jersey?|O|What|What is|WP|VBZ
What percentage of acute care beds in New Jersey hospitals were occupied in 1998?|C|What|What percentage|WP|NN
Where is the largest science and research park in the United States?|L|Where|Where is|WRB|VBZ
Since the 1980-81 season, which Ivy League men's basketball team has had the most Rookies of the Year?|O||||
What percentage of people over the age of 80 suffer from some degree of dementia?|C|What|What percentage|WP|NN
Which U.S. corporation donates the most money to the arts and humanities?|O|Which|Which U.S.|WDT|NNP
Which state has the lowest pupil-to-teacher ratio in its public schools?|L|Which|Which state|WDT|NN
Which insurance company charges the most for a standard homeowners policy in Mercer County?|O|Which|Which insurance|WDT|NN
What is the most expensive city in the world for business travelers?|L|What|What is|WP|VBZ
Which university web site draws the most unique visitors?|O|Which|Which university|WDT|NN
How many times during the past 15 years has the Princeton men's basketball team lost more than 10 games in a season?|A|How|How many|WRB|JJ
"What was Rubin ""Hurricane"" Carter's boxing record at the time he was charged with triple murder?"|A|What|What was|WP|VBD
What percentage of the world's prison population is incarcerated in American jails?|C|What|What percentage|WP|NN
How many men convicted of murder or rape in the United States have been freed because of new DNA evidence?|A|How|How many|WRB|JJ
What is the top-rated Cajun/Southern restaurant in New Jersey in the 2000 Zagat Survey?|O|What|What is|WP|VBZ
What is the most popular domestic travel destination for Americans?|L|What|What is|WP|VBZ
Which U.S. city is rated 'Most Wired' by Yahoo! Internet Life magazine?|L|Which|Which U.S.|WDT|NNP
When was the last time the Dartmouth basketball team, Princeton's opponent tonight, won the Ivy League championship?|T|When|When was|WRB|VBD
Which casino in Atlantic City has the most slot machines?|O|Which|Which casino|WDT|NN
What percentage of Princeton undergraduates receive some financial aid from the university?|C|What|What percentage|WP|NN
How many different web sites did the average user of the Internet visit in December?|A|How|How many|WRB|JJ
What percentage of the $500 billion in tax cuts proposed by Sen. John McCain over the next 10 years would benefit the bottom three-fifths of American taxpayers?|C|What|What percentage|WP|NN
Which state among those with a single flat rate for all taxpayers has the lowest income tax?|L|Which|Which state|WDT|NN
How many players from Brown University were first-team, all-Ivy basketball selections in the 1980s and 1990s?|A|How|How many|WRB|JJ
What was the most-watched television broadcast of all time?|X|What|What was|WP|VBD
What is the world's busiest airport, measured by volume of cargo loaded and unloaded annually?|X|What|What is|WP|VBZ
What percentage of high school students in New Jersey reported having tried marijuana at least once?|C|What|What percentage|WP|NN
How much did the median net worth of U.S. households making $10,000 to $25,000 a year rise or fall between 1995 and 1998?|M|How|How much|WRB|RB
Brown has the lowest winning percentage against Princeton among Ivy League basketball teams. Which team has the second worst record?|O||||
What percentage of money raised by New Jersey's state legislative and party leaders for the November elections came from corporations, law firms and other non-voting entities?|C|What|What percentage|WP|NN
How many calories can you burn off by walking or running one mile?|A|How|How many|WRB|JJ
What is the most popular bachelor's degree program in New Jersey?|X|What|What is|WP|VBZ
What percentage of the typical retiree's income comes from Social Security?|C|What|What percentage|WP|NN
What is the Princeton University basketball team's all-time winning percentage against Catholic University, its opponent Monday night?|C|What|What is|WP|VBZ
How many Iraqi children have died as a result of U.S. economic sanctions against Iraq since 1990?|A|How|How many|WRB|JJ
How much will it cost per month to send a child born today to an Ivy League school in the year 2019, given annual tuition increases of 4.5 percent?|M|How|How much|WRB|RB
How much has the inflation-adjusted income of the poorest one-fifth of New Jersey families changed over the past decade?|M|How|How much|WRB|JJ
Which European nation is expected to have the largest percentage increase in population over the next 50 years?|L|Which|Which European|WDT|JJ
What is the coldest temperature on record in New Brunswick?|A|What|What is|WP|VBZ
Which is the most active U.S. commercial port, measured in overall import and export tonnage?|L|Which|Which is|WDT|VBZ
What is the best state in which to raise a child, according to the Children's Rights Council?|L|What|What is|WP|VBZ
What is the Ivy League women's basketball record for most three-point field goals in a game by one player?|A|What|What is|WP|VBZ
How many times had the chief prosecution witness in the trial of Mumia Abu-Jamal been arrested herself when she testified against him?|A|How|How many|WRB|JJ
About how many people in the United States die each year from the flu?|A||||
Which major market in the United States has the highest Internet penetration?|X|Which|Which major|WDT|JJ
Who is the richest American under the age of 40?|P|Who|Who is|WP|VBZ
What stock performed best during 1999?|X|What|What stock|WP|NN
Who has been the single largest contributor to Bill Bradley's political campaigns?|P|Who|Who has|WP|VBZ
Which of the nation's 100 largest cities has the highest maximum salary for teachers?|L|Which|Which of|WDT|IN
Princeton University has played 34 basketball games at home against Lafayette College, its opponent Saturday night. How many of those games has Lafayette won?|A||||
What percentage of newspapers in the U.S. say they are making a profit from their online site?|C|What|What percentage|WP|NN
How many display advertisements appear in print publications in North America each day?|A|How|How many|WRB|JJ
What was the most popular name for American baby girls in 1999?|P|What|What was|WP|VBD
Which nation has the highest percentage of its population incarcerated?|L|Which|Which nation|WDT|NN
What percentage of people with a mental disorder seek professional counseling at some point during their lives?|C|What|What percentage|WP|NN
Which major U.S. airline had the lowest consumer complaint rate last year?|O|Which|Which major|WDT|JJ
What is the record-low temperature this century for New Year's Eve Day in New Brunswick?|A|What|What is|WP|VBZ
When was the last time the Princeton basketball team defeated Holy Cross, its opponent in Friday's game?|T|When|When was|WRB|VBD
"What does foo-foo mean in ""Caribbean English?"""|X|What|What does|WP|VBZ
Which nation generates the most revenue from tourism?|L|Which|Which nation|WDT|NN
When is the last time an Ivy League basketball team other than Penn or Princeton won an NCAA tournament game?|T|When|When is|WRB|VBZ
During what decade was Christmas first widely celebrated by Americans?|T||||
Which Caribbean resort received the highest rating from readers of CondeNast Traveler magazine?|O|Which|Which Caribbean|WDT|NNP
What was the largest jury verdict awarded to an individual last year?|M|What|What was|WP|VBD
What is the friendliest state in the U.S. for entrepreneurs?|L|What|What is|WP|VBZ
How many users are there worldwide on the Web?|A|How|How many|WRB|JJ
What is the record for most snowfall in a single December day in New Brunswick?|D|What|What is|WP|VBZ
In how many states is it legal to carry concealed weapons?|A||||
How many ships were there in the U.S. Navy in the 1830s?|A|How|How many|WRB|JJ
Against which non-league opponent does the Princeton University basketball team have the highest all-time winning percentage? (Minimum 10 games)|O||||
Which city generates the highest levels of sulphur dioxide in the world?|L|Which|Which city|WDT|NN
What was the population of Princeton Borough when it became incorporated as a separate municipality in 1813?|A|What|What was|WP|VBD
How many gallons of water are used to produce the chips in one computer?|A|How|How many|WRB|JJ
Who has the best pizza in the New Jersey according to the 2000 Zagat Survey?|O|Who|Who has|WP|VBZ
Who is the richest member of Congress?|P|Who|Who is|WP|VBZ
What is the cost of making New Jersey state agencies Y2K compliant?|M|What|What is|WP|VBZ
What is the Princeton men's basketball team's won-lost percentage against Rutgers over the past 20 years?|C|What|What is|WP|VBZ
What country is the most popular destination for college students studying abroad?|L|What|What country|WP|NN
How many e-mail messages does the average U.S. household send and receive per week?|A|How|How many|WRB|JJ
Which ski resort was named the best in North America by readers of Conde Nast Traveler magazine?|O|Which|Which ski|WDT|VBD
How expensive would gas have to become, per gallon, before most consumers would be willing to trade in their current cars for more fuel-efficient models?|M|How|How expensive|WRB|JJ
How many prescriptions for anti-depressants were filled in the United States last year?|A|How|How many|WRB|JJ
How much are Salvadoran workers paid for each $198 Liz Claiborne jacket they sew?|M|How|How much|WRB|JJ
Which Ivy League basketball player scored the most points in a single game during the 1990s?|P|Which|Which Ivy|WDT|NNP
What is the fuel capacity, in gallons, of the Battleship USS New Jersey?|A|What|What is|WP|VBZ
What percentage of European Internet users have access from their homes?|C|What|What percentage|WP|NN
What percentage of suicide attempts involving pills or poison is successful?|C|What|What percentage|WP|NN
What percentage of large U.S. companies reviews employee e-mail?|C|What|What percentage|WP|NN
How many Americans will have traveled 100 miles or more during the Thanksgiving weekend?|A|How|How many|WRB|JJ
What percentage of the discretionary funding in the federal budget goes to the Pentagon?|C|What|What percentage|WP|NN
What is the lowest single-game point total for a Princeton University basketball team in the last 20 years?|A|What|What is|WP|VBZ
What year did the Pilgrims have their first Thanksgiving feast?|T|What|What year|WP|NN
What percentage of Internet users have never purchased anything online?|C|What|What percentage|WP|NN
Which desktop computers have the best repair history according to a survey of Consumer Reports readers?|X|Which|Which desktop|WDT|NN
What percentage of professors at Princeton University are black or Hispanic?|C|What|What percentage|WP|NN
Who is the top recording artist in Russia?|P|Who|Who is|WP|VBZ
The Princeton University football team has played 78 different opponents in its 130-year history. How many of those teams have a winning record against the Tigers?|A||||
What is the lowest temperature ever recorded in November in New Brunswick?|A|What|What is|WP|VBZ
What is the most popular search query on Lycos?|X|What|What is|WP|VBZ
What is the best overall miles per gallon rating for a 2000 model sport utility vehicle?|A|What|What is|WP|VBZ
Which U.S. airport received the highest rating in Conde Nast Traveler magazine's 1999 Readers' Choice Awards?|X|Which|Which U.S.|WDT|NNP
What percentage of the 389 top corporate CEOs who have made donations to the presidential election campaign have contributed to George W. Bush?|C|What|What percentage|WP|NN
Which primetime television program has the highest ratings this season?|W|Which|Which primetime|WDT|JJ
When was the last time either the Yale or Brown football teams, currently tied for first place in the Ivy League, won the league title outright?|T|When|When was|WRB|VBD
What was the median starting salary for journalism school graduates last year?|M|What|What was|WP|VBD
Which pro sports franchise has the highest market value?|O|Which|Which pro|WDT|JJ
Which restaurant in New Jersey serves the best brunch, according to the Zagat Survey?|O|Which|Which restaurant|WDT|NN
"What percentage of federal employees received ""unacceptable"" performance ratings in 1996?"|C|What|What percentage|WP|NN
Which actress has been in the most movies that have grossed more than $100 million?|P|Which|Which actress|WDT|NN
Who is the winningest football coach in Ivy League history?|P|Who|Who is|WP|VBZ
How many hours a week is the average truck driver on the road?|A|How|How many|WRB|JJ
Who is the most popular employer among college juniors and seniors?|O|Who|Who is|WP|VBZ
Which nation has the lowest suicide rate in Europe?|L|Which|Which nation|WDT|NN
What percentage of the tax breaks included in the Lazio-Condit minimum wage bill would go to the wealthiest 1 percent of taxpayers?|C|What|What percentage|WP|NN
Which county in New Jersey has the highest percentage of female arrests?|L|Which|Which county|WDT|NN
During what decade did the Halloween custom come to America?|T||||
What is the web surfer's No. 1 frustration with web sites?|X|What|What is|WP|VBZ
How many times in its 68 meetings with Princeton has Columbia, the Tigers' football opponent Saturday, scored more than 24 points?|A|How|How many|WRB|JJ
What percentage of high school graduates who come from homes with family income of less than $25,000 attend college?|C|What|What percentage|WP|NN
What is the average work week of an American father with children under 18 years of age?|R|What|What is|WP|VBZ
"In 1980, political parties raised $19 million in ""soft money."" How much does Common Cause estimate will be raised in the 2000 elections?"|M||||
What is the most Internet-accessible city in the United States?|L|What|What is|WP|VBZ
How many U.S. newspapers are among the 20 most widely circulated dailies in the world?|A|How|How many|WRB|JJ
When is the last time either Princeton or Harvard has scored more than 28 points against each other?|T|When|When is|WRB|VBZ
What percentage of the U.S. carbonated soft drink market is controlled by Coca-Cola, Pepsi-Cola and Dr. Pepper/Seven Up?|C|What|What percentage|WP|NN
There were 677 cases of gonorrhea reported in Trenton in 1998. How many cases were reported in the rest of Mercer County?|A||||
In 1996, the wealth of the world's 447 billionaires was equal to that of what percentage of the world's least affluent population?|C||||
Which of the following companies took the worst beating in the stock market last week?|O|Which|Which of|WDT|IN
What is the coldest temperature ever recorded in New Brunswick in October?|A|What|What is|WP|VBZ
What is the Princeton University football team's post-World War II record for most consecutive losing seasons?|A|What|What is|WP|VBZ
Which sports utility van is considered the safest on the road by Money magazine?|X|Which|Which sports|WDT|NNS
Which book is most commonly found on the shelves of libraries here and in other countries?|W|Which|Which book|WDT|NN
What percentage of Americans with a household income of $75,000 or more use the Internet?|C|What|What percentage|WP|NN
"What percentage of American women think they are ""happier than their grandmother's generation?"""|C|What|What percentage|WP|NN
What name has been the most popular among newborn boys in New Jersey for each of the past eight years?|P|What|What name|WP|NN
What percentage of employees say they surf the Web at work at least a few times a day?|C|What|What percentage|WP|NN
Which Ivy League university has the highest graduation rate for black students?|O|Which|Which Ivy|WDT|NNP
Which quarterback holds the Ivy League record for most passing yardage in a single season?|P|Which|Which quarterback|WDT|NN
Over the past 35 years, when was defense spending, as a percentage of the total federal budget, at its lowest level?|T||||
Which restaurant in the Princeton-Trenton-New Brunswick-Lambertville area had the highest overall rating for food, decor and service in the most recent Zagat Survey of restaurants?|O|Which|Which restaurant|WDT|NN
Which town has the highest per-capita income in Mercer, Middlesex, Somerset and Hunterdon counties?|L|Which|Which town|WDT|NN
What percentage of Americans held college degrees in the early 1960s?|C|What|What percentage|WP|NN
Which hotel was rated the best in New York City by readers of Travel & Leisure magazine?|O|Which|Which hotel|WDT|NN
Which letter in the Princeton-Suburban phone book has the most pages of listings?|X|Which|Which letter|WDT|NN
Neither Columbia nor Brown has won an Ivy League title in football in more than 20 years. Which team has the third-longest Ivy title drought?|O||||
What percentage of stories aired on PBS during a sample two-week period dealt with international news?|C|What|What percentage|WP|NN
How many of the 18 U.S. presidents who served in the 20th century were graduated from Ivy League schools?|A|How|How many|WRB|JJ
When was the cannon on Princeton University's Cannon Green first brought to the campus?|T|When|When was|WRB|VBD
How far in miles does the typical mouthful of food travel from farm to consumer?|D|How|How far|WRB|RB
Which Ivy League opponent has the Princeton University football team had the most success with during the 1990s?|O|Which|Which Ivy|WDT|NNP
What percentage of Web shoppers who place something in their shopping carts complete their shopping transactions?|C|What|What percentage|WP|NN
Who founded Evelyn College for Women, which operated in Princeton in the latter part of the 19th century?|P|Who|Who founded|WP|VBD
Which city is the greatest distance from New York City?|L|Which|Which city|WDT|NN
In what year was the new Woodrow Wilson School for International Studies at Princeton University dedicated?|T||||
Which country has the highest life expectancy?|L|Which|Which country|WDT|NN
Which soft drink has the most calories?|X|Which|Which soft|WDT|JJ
How many times during the past 15 years has a Princeton University football player won the Ivy League Rookie of the Year award?|A|How|How many|WRB|JJ
"Of the 20 top-rated television programs last week, how many were ""news magazine"" shows?"|A||||
In 1960, when the average male's life expectancy was 68, how many of those years were spent working?|R||||
What was the top grossing Broadway show the first week of this month?|W|What|What was|WP|VBD
Which town had the lowest crime rate in Middlesex, Mercer and Somerset counties in 1998?|L|Which|Which town|WDT|NN
Of the 20 leading occupations for women, which is the highest paying?|X||||
How much are U.S. federal, state and local agencies expected to spend this year to fight the war on drugs?|M|How|How much|WRB|JJ
What percentage of American adults who die leave taxable estates?|C|What|What percentage|WP|NN
Name two U.S. vice presidents who were born in New Jersey?|P||||
Which nation's employees in the industrialized world put in the longest working hours?|L|Which|Which nation|WDT|NN
Which country has the highest recycling rate for glass?|L|Which|Which country|WDT|NN
Which U.S. city had the most homicides last year?|L|Which|Which U.S.|WDT|NNP
"Which island was rated the favorite of Travel & Leisure readers in the magazine's annual ""World Best Awards?"""|L|Which|Which island|WDT|NN
Which country has the world's largest underground economy?|L|Which|Which country|WDT|NN
Which restaurant in Princeton received the highest composite score (food, service, decor) in the new Zagat Survey?|O|Which|Which restaurant|WDT|NN
What percentage of the corn crop in this country is genetically engineered?|C|What|What percentage|WP|NN
In what year was Nassau Hall first occupied?|T||||
How many passengers did Delta bump in the first three months of this year?|A|How|How many|WRB|JJ
What was the average room rate for a hotel room in Manhattan during the first six months of this year? |M|What|What was|WP|VBD
Which country has the least amount of government interference in its economy?|L|Which|Which country|WDT|NN
Which car has the highest retail resale value?|X|Which|Which car|WDT|NN
Which search engine covers the largest percentage of Web pages?|X|Which|Which search|WDT|NN
What percentage of jail inmates were using drugs or alcohol at the time of the offense for which they were incarcerated?|C|What|What percentage|WP|NN
What percentage of people watch less TV today than they did prior to the Internet?|C|What|What percentage|WP|NN
How many of the 18 freshmen defensive players listed on this fall's Princeton University football team weigh more than 240 pounds?|A|How|How many|WRB|JJ
Which country has the highest per-capita incidence of AIDS?|L|Which|Which country|WDT|NN
How many U.S. presidents have visited the Morven mansion in Princeton?|A|How|How many|WRB|JJ
"How many New Jersey residents have drinking water that comes from sources deemed ""unsafe"" for fishing or swimming?"|A|How|How many|WRB|JJ
What is the record for the most rainfall in a single day in August in New Brunswick?|D|What|What is|WP|VBZ
Which country has the world's highest divorce rate?|L|Which|Which country|WDT|NN
In what year was Route 206 in the Princetons completed?|T||||
Which country has the most Internet users, per capita?|L|Which|Which country|WDT|NN
During the past 25 years, what has been the average number of mass murder incidents in the U.S. each year?|A||||
What percentage of the estimated 800 million pages that exist on the Web are pornographic?|C|What|What percentage|WP|NN
"What percentage of residents in the Netherlands reported using marijuana during the ""past month""?"|C|What|What percentage|WP|NN
What's the best-selling paperback on the Publishers Weekly list?|W|What|What 's|WP|VBZ
Which state consumes the most catfish?|L|Which|Which state|WDT|NN
How far below normal are the water levels at the state's major reservoirs?|D|How|How far|WRB|RB
There are 566 municipalities in New Jersey. How many were there in 1880?|A||||
In what year did the number of acts of international terrorism peak?|T||||
What percentage of men over the age of 75 who were polled in an AARP survey said that sexual activity was important to their overall quality of life?|C|What|What percentage|WP|NN
Which hospital in New Jersey has the lowest risk-adjusted mortality rate for coronary artery bypass surgery?|O|Which|Which hospital|WDT|NN
What is the monetary cutoff for filing a damages claim in Small Claims Court in New Jersey?|M|What|What is|WP|VBZ
Which New Jersey county experienced the most population growth, in percentage terms, between July 1997 and July 1998?|L|Which|Which New|WDT|NNP
Which organization spent the most money on lobbying in New Jersey last year?|O|Which|Which organization|WDT|NN
What was the most popular name given to baby girls in England and Wales last year?|P|What|What was|WP|VBD
What is the median age of cars in the U.S.?|Y|What|What is|WP|VBZ
What is the minimum eyesight requirement for obtaining a driver's license in New Jersey?|A|What|What is|WP|VBZ
What percentage of men visited a dentist in 1997?|C|What|What percentage|WP|NN
What is the coldest temperature ever recorded in New Brunswick in July?|A|What|What is|WP|VBZ
Which airport in Europe has the highest percentage of delayed departures?|X|Which|Which airport|WDT|NN
How many golf courses are owned and operated by the state of New Jersey?|A|How|How many|WRB|JJ
What is the most popular content area on newspaper web sites?|X|What|What is|WP|VBZ
Which public college in New Jersey will have the largest tuition increase in 1999-2000?|O|Which|Which public|WDT|JJ
Where was the deadliest hurricane in the United States this century?|L|Where|Where was|WRB|VBD
How many times does the average NYTimes.com user access the site each month?|A|How|How many|WRB|JJ
"Who won the Yahoo! Online Music Award for ""Best Official Artist Site?"""|P|Who|Who won|WP|VBD
What is the average life expectancy in Third World nations?|T|What|What is|WP|VBZ
In what year was the FitzRandolph Gate, the main entrance to the campus of Princeton University, erected?|T||||
In what town is the most expensive apartment complex listed in a statewide apartment guide located?|L||||
What was the debut event at Brendan Byrne Meadowlands Arena in 1981?|X|What|What was|WP|VBD
Which country has the most soldiers and rebels under the age of 18?|L|Which|Which country|WDT|NN
What percentage of employees say they would vote in favor of forming a union at their workplace?|C|What|What percentage|WP|NN
Which college or university raised the most money from alumni, corporations and private donors in 1997-98?|O|Which|Which college|WDT|NN
What percentage of children could qualify as learning disabled under either the federal or state definitions?|C|What|What percentage|WP|NN
Which municipality in New Jersey had the largest percentage increase in population between 1990 and 1998?|L|Which|Which municipality|WDT|NN
Which state has the nation's highest percentage of teen pregnancies ending in abortion?|L|Which|Which state|WDT|NN
How many more, or fewer, people are living in abject poverty today than at the beginning of this decade?|A|How|How many|WRB|JJ
How many of the 29 magazine and newspaper Web sites included in min's New Media Report survey reported increases in page views from April to May?|A|How|How many|WRB|JJ
What is the warmest temperature ever recorded in New Brunswick?|A|What|What is|WP|VBZ
In how many Shore towns in New Jersey is access to all the beaches free?|A||||
What percentage of immigrants who had been in the U.S. for at least 25 years owned their own homes in 1996?|C|What|What percentage|WP|NN
What percentage of high school girls surveyed agreed with the statement that people will be happier if they marry rather than stay single?|C|What|What percentage|WP|NN
How many states ban all fireworks?|A|How|How many|WRB|JJ
